;company;industry;symbol;category;market_cap;current_value;high_52week;low_52week;book_value;price_earnings;dividend_yield;roce;roe;sales_growth_3yr
0;Adani Ports and Special Economic Zone Ltd.;SERVICES;ADANIPORTS;Nifty 50;69087.0;333.6;451.55;293.95;90.36;28.32;0.6;14.96;14.82;18.67
1;Asian Paints Ltd.;CONSUMER GOODS;ASIANPAINT;Nifty 50;119612.0;1247.0;1488.6;1082.0;84.29;58.5;0.7;38.71;25.47;8.44
2;Axis Bank Ltd.;FINANCIAL SERVICES;AXISBANK;Nifty 50;156906.0;610.65;676.9;477.5;246.92;5525.0;0.0;4.4;0.11;8.87
3;Bajaj Auto Ltd.;AUTOMOBILE;BAJAJ-AUTO;Nifty 50;76907.0;2658.0;3472.6;2425.0;654.55;17.89;2.26;31.96;22.63;5.2
4;Bajaj Finance Ltd.;FINANCIAL SERVICES;BAJFINANCE;Nifty 50;137747.0;2383.0;2995.1;1514.4;300.47;42.21;0.17;12.74;20.27;35.08
5;Bajaj Finserv Ltd.;FINANCIAL SERVICES;BAJAJFINSV;Nifty 50;87927.0;5525.0;7200.0;4444.0;197.95;275.44;0.03;5.91;5.01;6.09
6;Bharat Petroleum Corporation Ltd.;ENERGY;BPCL;Nifty 50;65587.0;302.35;543.6;239.0;164.35;7.87;6.3;21.76;24.61;-0.25
7;Bharti Airtel Ltd.;TELECOM;BHARTIARTL;Nifty 50;120741.0;302.05;565.0;277.0;251.22;;1.77;3.58;0.73;-1.11
8;Bharti Infratel Ltd.;TELECOM;INFRATEL;Nifty 50;48515.0;262.3;443.3;241.8;89.2;18.74;5.34;19.78;14.7;7.09
9;Cipla Ltd.;PHARMA;CIPLA;Nifty 50;48887.0;607.1;678.0;508.1;175.27;29.46;0.49;13.92;10.82;3.98
10;Coal India Ltd.;METALS;COALINDIA;Nifty 50;162355.0;261.55;316.55;256.0;20.45;17.4;6.31;68.07;69.84;7.32
11;Dr. Reddy's Laboratories Ltd.;PHARMA;DRREDDY;Nifty 50;40237.0;2423.0;2687.45;1888.0;725.85;35.03;0.83;5.09;4.58;-2.22
12;Eicher Motors Ltd.;AUTOMOBILE;EICHERMOT;Nifty 50;61827.0;22674.0;32209.5;20301.1;1970.0;31.48;0.48;62.74;41.21;43.5
13;GAIL (India) Ltd.;ENERGY;GAIL;Nifty 50;83381.0;369.75;398.8;296.0;178.83;17.25;2.46;16.88;11.75;-1.76
14;Grasim Industries Ltd.;CEMENT & CEMENT PRODUCTS;GRASIM;Nifty 50;55737.0;847.6;1299.9;756.0;681.12;24.57;0.73;9.0;6.4;35.83
15;HCL Technologies Ltd.;IT;HCLTECH;Nifty 50;139893.0;1005.0;1124.5;825.1;218.79;17.6;1.19;33.57;27.07;8.77
16;HDFC Bank Ltd.;FINANCIAL SERVICES;HDFCBANK;Nifty 50;529816.0;1949.0;2219.05;1791.3;391.11;27.81;0.64;7.32;17.87;18.3
17;Hero MotoCorp Ltd.;AUTOMOBILE;HEROMOTOCO;Nifty 50;57851.0;2897.0;3862.0;2648.7;635.16;15.81;3.28;46.1;32.46;5.32
18;Hindalco Industries Ltd.;METALS;HINDALCO;Nifty 50;53990.0;240.45;283.95;192.5;214.62;34.94;0.5;6.2;3.42;7.42
19;Hindustan Petroleum Corporation Ltd.;ENERGY;HINDPETRO;Nifty 50;36602.0;240.2;450.0;163.45;172.59;5.62;7.08;22.82;29.03;2.01
20;Hindustan Unilever Ltd.;CONSUMER GOODS;HINDUNILVR;Nifty 50;354667.0;1638.0;1807.75;1227.0;32.36;60.59;1.22;109.0;77.57;3.87
21;Housing Development Finance Corporation Ltd.;FINANCIAL SERVICES;HDFC;Nifty 50;313331.0;1824.0;2051.0;1642.0;412.25;31.28;1.07;9.65;18.46;8.69
22;I T C Ltd.;CONSUMER GOODS;ITC;Nifty 50;346803.0;283.25;322.7;250.35;41.12;30.1;1.81;34.21;22.65;3.64
23;ICICI Bank Ltd.;FINANCIAL SERVICES;ICICIBANK;Nifty 50;228119.0;354.45;365.65;256.5;158.72;65.94;0.42;4.98;6.81;3.84
24;Indiabulls Housing Finance Ltd.;FINANCIAL SERVICES;IBULHSGFIN;Nifty 50;37161.0;870.9;1439.4;640.15;389.33;9.44;4.71;11.34;28.82;24.52
25;Indian Oil Corporation Ltd.;ENERGY;IOC;Nifty 50;143978.0;148.25;213.81;105.65;121.05;6.21;13.83;22.27;20.27;-1.04
26;IndusInd Bank Ltd.;FINANCIAL SERVICES;INDUSINDBK;Nifty 50;92765.0;1542.0;2037.9;1333.9;390.0;24.12;0.49;7.97;16.47;21.26
27;Infosys Ltd.;IT;INFY;Nifty 50;289297.0;662.25;754.95;459.0;144.07;17.54;3.28;29.58;24.02;9.41
28;JSW Steel Ltd.;METALS;JSWSTEEL;Nifty 50;85280.0;352.8;427.3;237.9;128.9;10.48;1.13;17.46;18.72;12.13
29;Kotak Mahindra Bank Ltd.;FINANCIAL SERVICES;KOTAKBANK;Nifty 50;216115.0;1133.0;1424.0;983.35;196.54;49.75;0.06;7.1;12.46;26.66
30;Larsen & Toubro Ltd.;CONSTRUCTION;LT;Nifty 50;190450.0;1358.0;1469.6;1176.0;345.1;33.0;1.18;14.29;10.58;9.35
31;Mahindra & Mahindra Ltd.;AUTOMOBILE;M&M;Nifty 50;97410.0;783.55;992.0;660.5;243.68;21.73;0.96;18.38;14.17;8.19
32;Maruti Suzuki India Ltd.;AUTOMOBILE;MARUTI;Nifty 50;215548.0;7135.0;10000.0;6501.65;1424.0;27.3;1.12;23.98;16.37;16.87
33;NTPC Ltd.;ENERGY;NTPC;Nifty 50;130278.0;158.0;186.35;149.45;126.63;12.65;3.24;7.65;10.43;4.74
34;Oil & Natural Gas Corporation Ltd.;ENERGY;ONGC;Nifty 50;201931.0;157.35;212.9;144.9;158.71;7.97;4.19;15.03;10.53;0.83
35;Power Grid Corporation of India Ltd.;ENERGY;POWERGRID;Nifty 50;99322.0;189.85;221.25;174.25;104.01;11.79;2.77;9.98;15.11;20.09
36;Reliance Industries Ltd.;ENERGY;RELIANCE;Nifty 50;681328.0;1075.0;1328.75;861.7;513.37;19.56;0.56;11.35;10.31;-4.12
37;State Bank of India;FINANCIAL SERVICES;SBIN;Nifty 50;254663.0;285.35;346.5;232.0;217.69;;0.0;4.5;-3.71;13.1
38;Sun Pharmaceutical Industries Ltd.;PHARMA;SUNPHARMA;Nifty 50;137205.0;571.85;678.8;434.8;82.4;130.27;0.35;2.54;1.55;-0.44
39;Tata Consultancy Services Ltd.;IT;TCS;Nifty 50;718000.0;1913.0;2273.0;1248.45;175.08;26.03;1.33;41.26;32.69;9.78
40;Tata Motors Ltd.;AUTOMOBILE;TATAMOTORS;Nifty 50;60161.0;190.3;466.95;164.55;67.96;29.99;0.0;4.2;-1.24;17.46
41;Tata Steel Ltd.;METALS;TATASTEEL;Nifty 50;64673.0;574.05;747.25;493.5;546.02;8.29;1.77;15.7;11.76;12.58
42;Tech Mahindra Ltd.;IT;TECHM;Nifty 50;67778.0;690.9;780.05;458.5;202.89;16.62;2.02;25.85;21.06;7.28
43;Titan Company Ltd.;CONSUMER GOODS;TITAN;Nifty 50;77326.0;871.0;1006.0;652.05;58.5;59.46;0.43;26.39;25.88;9.48
44;UPL Ltd.;FERTILISERS & PESTICIDES;UPL;Nifty 50;36237.0;711.45;830.0;537.9;158.01;69.82;1.13;8.12;7.03;10.83
45;UltraTech Cement Ltd.;CEMENT & CEMENT PRODUCTS;ULTRACEMCO;Nifty 50;102458.0;3731.0;4594.3;3263.7;967.96;50.16;0.28;12.51;9.25;10.78
46;Vedanta Ltd.;METALS;VEDL;Nifty 50;83971.0;225.9;355.7;197.1;215.76;29.42;9.39;5.85;3.18;11.89
47;Wipro Ltd.;IT;WIPRO;Nifty 50;144048.0;318.4;339.05;253.5;99.84;20.31;0.31;20.61;17.36;2.75
48;Yes Bank Ltd.;FINANCIAL SERVICES;YESBANK;Nifty 50;48326.0;209.1;404.0;166.15;111.45;10.78;1.29;7.42;17.67;20.54
49;Zee Entertainment Enterprises Ltd.;MEDIA & ENTERTAINMENT;ZEEL;Nifty 50;42390.0;441.35;619.35;410.3;64.77;24.17;0.66;41.44;37.69;19.15
50;ABB India Ltd.;INDUSTRIAL MANUFACTURING;ABB;Nifty Next 50;27933.0;1318.0;1744.4;1123.0;175.08;57.65;0.33;17.7;12.31;5.54
51;ACC Ltd.;CEMENT & CEMENT PRODUCTS;ACC;Nifty Next 50;27257.0;1452.0;1856.0;1255.0;511.19;27.79;1.79;15.24;10.01;4.49
52;Aditya Birla Capital Ltd.;FINANCIAL SERVICES;ABCAPITAL;Nifty Next 50;23412.0;106.35;213.8;90.1;32.45;499.29;0.0;1.34;1.05;241.0
53;Ambuja Cements Ltd.;CEMENT & CEMENT PRODUCTS;AMBUJACEM;Nifty Next 50;40517.0;204.05;284.0;188.5;102.23;31.46;1.76;8.76;6.35;1.69
54;Ashok Leyland Ltd.;AUTOMOBILE;ASHOKLEY;Nifty Next 50;34551.0;117.7;167.5;103.2;24.41;18.86;2.06;28.4;23.22;23.55
55;Aurobindo Pharma Ltd.;PHARMA;AUROPHARMA;Nifty Next 50;45783.0;781.4;826.35;527.05;170.38;26.46;0.32;19.02;19.68;8.37
56;Avenue Supermarts Ltd.;CONSUMER GOODS;DMART;Nifty Next 50;91272.0;1463.0;1682.0;1062.9;82.19;101.96;0.0;23.77;18.21;33.77
57;Bandhan Bank Ltd.;FINANCIAL SERVICES;BANDHANBNK;Nifty Next 50;50915.0;426.85;741.0;369.15;78.65;30.72;0.23;10.59;19.46;
58;Bank of Baroda;FINANCIAL SERVICES;BANKBARODA;Nifty Next 50;29074.0;109.9;191.95;90.7;164.03;;0.0;3.69;-5.98;0.53
59;Bharat Electronics Ltd.;INDUSTRIAL MANUFACTURING;BEL;Nifty Next 50;23148.0;95.0;192.95;74.3;34.57;14.35;2.11;25.36;18.32;14.69
60;Bharat Heavy Electricals Ltd.;INDUSTRIAL MANUFACTURING;BHEL;Nifty Next 50;26801.0;73.0;108.0;64.5;88.83;28.18;2.49;5.77;2.42;-1.99
61;Biocon Ltd.;PHARMA;BIOCON;Nifty Next 50;37860.0;631.0;718.35;365.25;117.13;131.55;0.16;4.06;3.21;2.57
62;Bosch Ltd.;AUTOMOBILE;BOSCHLTD;Nifty Next 50;59898.0;19625.0;22400.0;16990.4;3270.0;38.41;0.51;22.73;15.23;-1.1
63;Britannia Industries Ltd.;CONSUMER GOODS;BRITANNIA;Nifty Next 50;67301.0;5601.0;6944.1;4400.0;269.25;68.3;0.45;49.63;32.58;9.04
64;Cadila Healthcare Ltd.;PHARMA;CADILAHC;Nifty Next 50;36737.0;358.85;510.85;330.65;75.66;24.07;0.98;15.47;15.19;3.21
65;Colgate Palmolive (India) Ltd.;CONSUMER GOODS;COLPAL;Nifty Next 50;30139.0;1108.0;1285.0;1016.8;56.95;41.23;2.17;71.1;48.67;1.7
66;Container Corporation of India Ltd.;SERVICES;CONCOR;Nifty Next 50;32154.0;659.65;750.01;541.45;200.44;27.51;1.3;15.25;11.49;3.92
67;DLF Ltd.;CONSTRUCTION;DLF;Nifty Next 50;30325.0;169.95;273.95;141.2;109.54;51.21;1.18;6.36;2.27;0.43
68;Dabur India Ltd.;CONSUMER GOODS;DABUR;Nifty Next 50;65255.0;369.45;490.7;312.45;19.47;56.41;2.02;33.37;27.49;0.98
69;General Insurance Corporation of India;FINANCIAL SERVICES;GICRE;Nifty Next 50;57307.0;326.65;424.31;299.9;128.1;15.85;2.07;8.19;7.83;41.11
70;Godrej Consumer Products Ltd.;CONSUMER GOODS;GODREJCP;Nifty Next 50;73029.0;714.45;979.83;601.86;43.27;65.77;0.93;28.86;21.86;5.9
71;HDFC Standard Life Insurance Company Ltd.;FINANCIAL SERVICES;HDFCLIFE;Nifty Next 50;77858.0;386.6;547.25;307.65;26.83;63.75;0.35;30.58;25.83;5.82
72;Havells India Ltd.;CONSUMER GOODS;HAVELLS;Nifty Next 50;40415.0;646.15;728.95;454.0;61.45;50.51;0.62;27.61;19.79;16.21
73;Hindustan Zinc Ltd.;METALS;HINDZINC;Nifty Next 50;111570.0;264.05;339.55;261.15;93.66;13.02;3.03;32.69;26.51;14.3
74;ICICI Lombard General Insurance Company Ltd.;FINANCIAL SERVICES;ICICIGI;Nifty Next 50;38119.0;839.5;936.0;666.1;109.85;37.15;0.48;32.59;19.09;17.75
75;ICICI Prudential Life Insurance Company Ltd.;FINANCIAL SERVICES;ICICIPRULI;Nifty Next 50;50590.0;352.4;462.0;302.0;47.55;36.79;1.9;28.05;24.43;4.07
76;InterGlobe Aviation Ltd.;SERVICES;INDIGO;Nifty Next 50;37489.0;975.25;1520.0;697.0;160.3;146.83;0.62;39.8;36.38;18.24
77;L&T Finance Holdings Ltd.;FINANCIAL SERVICES;L&TFH;Nifty Next 50;26794.0;134.15;200.7;111.2;37.9;67.18;0.74;6.05;5.31;13.54
78;LIC Housing Finance Ltd.;FINANCIAL SERVICES;LICHSGFIN;Nifty Next 50;21728.0;430.55;613.7;387.6;251.48;10.01;1.58;9.6;16.74;11.76
79;Lupin Ltd.;PHARMA;LUPIN;Nifty Next 50;38435.0;849.9;1070.35;723.55;361.04;26.4;0.59;11.46;8.6;1.11
80;MRF Ltd.;AUTOMOBILE;MRF;Nifty Next 50;28188.0;66481.0;81423.0;59494.6;22651.0;22.61;0.09;16.86;12.01;3.94
81;Marico Ltd.;CONSUMER GOODS;MARICO;Nifty Next 50;43638.0;338.05;388.0;284.05;26.99;50.25;1.26;32.55;25.26;3.37
82;Motherson Sumi Systems Ltd.;AUTOMOBILE;MOTHERSUMI;Nifty Next 50;54474.0;172.5;395.0;146.84;19.57;62.19;0.87;17.36;14.66;14.45
83;NHPC Ltd.;ENERGY;NHPC;Nifty Next 50;24981.0;24.35;34.5;22.2;27.61;9.49;5.75;6.45;5.33;0.7
84;NMDC Ltd.;METALS;NMDC;Nifty Next 50;36337.0;114.85;162.55;93.5;76.97;9.77;3.74;25.52;15.77;-2.04
85;Oil India Ltd.;ENERGY;OIL;Nifty Next 50;22795.0;200.85;259.36;180.15;245.92;7.8;4.98;11.01;9.36;3.01
86;Oracle Financial Services Software Ltd.;IT;OFSS;Nifty Next 50;30393.0;3545.0;4655.0;3329.55;380.53;27.64;3.65;45.85;31.02;4.95
87;Petronet LNG Ltd.;ENERGY;PETRONET;Nifty Next 50;33608.0;224.05;275.45;202.0;67.04;15.27;2.01;29.97;23.34;-8.16
88;Pidilite Industries Ltd.;CHEMICALS;PIDILITIND;Nifty Next 50;50251.0;989.3;1194.8;748.75;73.06;50.83;0.61;38.43;27.45;6.78
89;Piramal Enterprises Ltd.;PHARMA;PEL;Nifty Next 50;39326.0;2153.0;3302.55;1796.75;1047.0;46.37;1.15;6.2;3.31;11.05
90;Procter & Gamble Hygiene & Health Care Ltd.;CONSUMER GOODS;PGHH;Nifty Next 50;31468.0;9694.0;11000.0;8499.95;248.15;78.06;4.01;63.57;40.31;4.2
91;SBI Life Insurance Company Ltd.;FINANCIAL SERVICES;SBILIFE;Nifty Next 50;56330.0;563.3;774.75;487.0;70.91;46.31;0.36;23.65;19.05;13.5
92;Shree Cement Ltd.;CEMENT & CEMENT PRODUCTS;SHREECEM;Nifty Next 50;51439.0;14764.0;19842.3;13125.0;2554.0;42.04;0.34;18.08;16.34;16.25
93;Shriram Transport Finance Co. Ltd.;FINANCIAL SERVICES;SRTRANSFIN;Nifty Next 50;28451.0;1254.0;1670.6;903.5;641.73;16.43;0.88;10.9;12.4;12.42
94;Siemens Ltd.;INDUSTRIAL MANUFACTURING;SIEMENS;Nifty Next 50;34218.0;960.85;1330.1;841.0;219.23;40.5;0.73;15.64;10.32;1.04
95;Steel Authority of India Ltd.;METALS;SAIL;Nifty Next 50;28728.0;69.55;101.4;61.75;89.22;14.97;0.0;2.66;-1.21;8.03
96;Sun TV Network Ltd.;MEDIA & ENTERTAINMENT;SUNTV;Nifty Next 50;26136.0;663.2;1097.05;566.5;131.02;19.84;1.51;37.51;24.71;8.46
97;The New India Assurance Company Ltd.;FINANCIAL SERVICES;NIACL;Nifty Next 50;37302.0;226.35;382.13;195.0;95.2;15.96;1.93;8.97;7.21;18.2
98;United Spirits Ltd.;CONSUMER GOODS;MCDOWELL-N;Nifty Next 50;44681.0;614.9;800.69;439.0;38.66;66.51;0.0;16.72;21.66;0.76
99;Vodafone Idea Ltd.;TELECOM;IDEA;Nifty Next 50;35466.0;40.6;118.0;32.55;29.39;;0.0;3.62;-3.49;10.45
100;3M India Ltd.;SERVICES;3MINDIA;Nifty Midcap 150;22859.0;20283.0;26679.25;14566.0;1508.0;65.65;0.0;34.63;22.48;11.57
101;AIA Engineering Ltd.;INDUSTRIAL MANUFACTURING;AIAENG;Nifty Midcap 150;16113.0;1709.0;1887.0;1325.0;316.22;30.99;0.47;20.51;16.39;0.89
102;AU Small Finance Bank Ltd.;FINANCIAL SERVICES;AUBANK;Nifty Midcap 150;16348.0;559.65;746.95;502.0;77.49;49.51;0.09;8.31;13.79;37.0
103;Adani Power Ltd.;ENERGY;ADANIPOWER;Nifty Midcap 150;19227.0;49.85;52.75;15.2;24.62;;0.0;1.91;-21.39;-7.69
104;Adani Transmission Ltd.;ENERGY;ADANITRANS;Nifty Midcap 150;19681.0;178.95;252.0;115.0;35.03;6604.0;0.0;7.73;-1.19;232.0
105;Aditya Birla Fashion and Retail Ltd.;CONSUMER GOODS;ABFRL;Nifty Midcap 150;14906.0;193.15;215.55;132.15;14.97;75.95;0.0;8.82;11.66;57.07
106;Ajanta Pharmaceuticals Ltd.;PHARMA;AJANTPHARM;Nifty Midcap 150;9553.0;1085.0;1592.0;897.6;248.35;19.18;0.0;32.76;24.89;10.41
107;Alembic Pharmaceuticals Ltd.;PHARMA;APLLTD;Nifty Midcap 150;11110.0;589.4;664.0;412.4;130.99;18.09;0.68;22.7;20.59;13.41
108;Alkem Laboratories Ltd.;PHARMA;ALKEM;Nifty Midcap 150;22824.0;1909.0;2468.0;1742.0;430.95;35.62;0.68;19.47;15.86;19.75
109;Amara Raja Batteries Ltd.;AUTOMOBILE;AMARAJABAT;Nifty Midcap 150;13508.0;790.8;907.75;665.45;171.97;27.88;0.52;24.92;16.73;12.9
110;Apollo Hospitals Enterprise Ltd.;HEALTHCARE SERVICES;APOLLOHOSP;Nifty Midcap 150;16052.0;1154.0;1262.0;911.1;265.49;62.18;0.43;8.84;6.52;16.5
111;Apollo Tyres Ltd.;AUTOMOBILE;APOLLOTYRE;Nifty Midcap 150;12625.0;220.7;307.15;192.1;126.92;16.35;1.36;11.89;9.89;4.73
112;Astral Poly Technik Ltd.;INDUSTRIAL MANUFACTURING;ASTRAL;Nifty Midcap 150;12172.0;1016.0;1188.75;731.0;79.21;94.83;0.06;19.29;13.48;9.23
113;Avanti Feeds Ltd.;CONSUMER GOODS;AVANTIFEED;Nifty Midcap 150;5592.0;410.45;999.0;350.0;68.84;16.02;0.97;82.55;54.4;18.11
114;Bajaj Holdings & Investment Ltd.;FINANCIAL SERVICES;BAJAJHLDNG;Nifty Midcap 150;31329.0;2815.0;3250.0;2203.65;933.06;29.48;1.42;18.06;16.89;13.59
115;Balkrishna Industries Ltd.;AUTOMOBILE;BALKRISIND;Nifty Midcap 150;21512.0;1113.0;1467.4;864.25;211.84;26.35;0.72;21.82;18.33;5.6
116;Bank of India;FINANCIAL SERVICES;BANKINDIA;Nifty Midcap 150;14685.0;84.25;216.7;73.3;172.07;;0.0;3.15;-22.14;-4.29
117;Bata India Ltd.;CONSUMER GOODS;BATAINDIA;Nifty Midcap 150;12938.0;1007.0;1116.0;656.8;121.08;50.06;0.4;25.43;16.02;-0.81
118;Berger Paints India Ltd.;CONSUMER GOODS;BERGEPAINT;Nifty Midcap 150;29558.0;304.4;349.0;232.0;22.3;65.14;0.59;30.56;20.71;8.92
119;Bharat Financial Inclusion Ltd.;FINANCIAL SERVICES;BHARATFIN;Nifty Midcap 150;13353.0;952.9;1248.65;824.3;257.08;17.78;0.0;11.54;16.72;37.83
120;Bharat Forge Ltd.;INDUSTRIAL MANUFACTURING;BHARATFORG;Nifty Midcap 150;28273.0;607.25;799.65;541.1;99.83;33.19;0.74;19.45;17.75;5.34
121;Blue Dart Express Ltd.;SERVICES;BLUEDART;Nifty Midcap 150;6518.0;2747.0;4815.45;2620.0;263.68;52.99;0.46;28.93;24.87;7.15
122;CRISIL Ltd.;FINANCIAL SERVICES;CRISIL;Nifty Midcap 150;10835.0;1503.0;2020.85;1259.0;109.91;43.69;1.85;40.55;27.83;9.23
123;Canara Bank;FINANCIAL SERVICES;CANBK;Nifty Midcap 150;17855.0;243.5;411.45;205.15;396.59;;0.0;3.9;-14.7;-1.94
124;Castrol India Ltd.;ENERGY;CASTROLIND;Nifty Midcap 150;14476.0;146.35;214.43;134.85;10.8;20.89;4.78;105.0;67.98;1.85
125;Central Bank of India;FINANCIAL SERVICES;CENTRALBK;Nifty Midcap 150;8300.0;31.7;93.5;27.0;56.74;;0.0;3.03;-35.27;-3.09
126;Century Textile & Industries Ltd.;CEMENT & CEMENT PRODUCTS;CENTURYTEX;Nifty Midcap 150;9519.0;852.2;1471.85;718.25;261.57;18.38;0.76;14.1;14.8;2.71
